UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.3,0.4,False,12,LPT,689.2,0.03,
0.3,0.4,False,12,Deterministic,689.2,0.07,
0.3,0.4,False,12,Age-Stratified,695.9,0.19,
0.3,0.4,False,13,Stochastic-MILP,689.1,0.05,
0.3,0.4,False,13,LPT,688.95,0.05,
0.3,0.4,False,13,Deterministic,688.95,0.05,
0.3,0.4,False,13,Age-Stratified,690.15,0.09,
0.3,0.4,False,14,Stochastic-MILP,690.45,0.03,
0.3,0.4,False,14,LPT,690.45,0.03,
0.3,0.4,False,14,Deterministic,690.45,0.12,
0.3,0.4,False,14,Age-Stratified,694.4,0.14,
0.3,0.4,False,15,Stochastic-MILP,689.65,0.03,
0.3,0.4,False,15,LPT,688.3,0.02,
0.3,0.4,False,15,Deterministic,688.3,0.07,
0.3,0.4,False,15,Age-Stratified,692.75,0.13,
0.3,0.4,False,16,Stochastic-MILP,686.8,0.01,
0.3,0.4,False,16,LPT,686.8,0.01,
0.3,0.4,False,16,Deterministic,686.8,0.02,
0.3,0.4,False,16,Age-Stratified,690.75,0.1,
0.3,0.4,False,17,Stochastic-MILP,688.2,0.01,
0.3,0.4,False,17,LPT,686.7,0.01,
0.3,0.4,False,17,Deterministic,686.7,0.06,
0.3,0.4,False,17,Age-Stratified,686.85,0.05,
0.3,0.4,False,18,Stochastic-MILP,688.35,0.01,
0.3,0.4,False,18,LPT,688.35,0.01,
0.3,0.4,False,18,Deterministic,688.35,0.05,
0.3,0.4,False,18,Age-Stratified,689.0,0.04,
0.3,0.4,False,19,Stochastic-MILP,688.75,0.02,
0.3,0.4,False,19,LPT,688.9,0.02,
0.3,0.4,False,19,Deterministic,688.9,0.09,
0.3,0.4,False,19,Age-Stratified,690.65,0.09,
0.3,0.4,False,20,Stochastic-MILP,690.4,0.03,
0.3,0.4,False,20,LPT,690.4,0.03,
0.3,0.4,False,20,Deterministic,690.4,0.1,
0.3,0.4,False,20,Age-Stratified,696.15,0.19,
0.3,0.4,False,21,Stochastic-MILP,689.25,0.02,
0.3,0.4,False,21,LPT,689.25,0.02,
0.3,0.4,False,21,Deterministic,689.25,0.08,
0.3,0.4,False,21,Age-Stratified,690.35,0.11,
0.3,0.4,False,22,Stochastic-MILP,691.55,0.03,
0.3,0.4,False,22,LPT,691.55,0.03,
0.3,0.4,False,22,Deterministic,691.55,0.11,
0.3,0.4,False,22,Age-Stratified,693.9,0.13,
0.3,0.4,False,23,Stochastic-MILP,688.05,0.03,
0.3,0.4,False,23,LPT,688.5,0.02,
0.3,0.4,False,23,Deterministic,688.5,0.07,
0.3,0.4,False,23,Age-Stratified,690.95,0.09,
0.3,0.4,False,24,Stochastic-MILP,690.55,0.01,
0.3,0.4,False,24,LPT,690.25,0.02,
